constructorStandingsId,raceId,constructorId,points,position,positionText,wins
26530,955,5,32,6,6,0
26531,955,4,6,9,9,0
26532,955,1,24,7,7,0
26533,955,15,0,10,10,0
26534,955,209,0,11,11,0
26535,956,131,295,1,1,8
26536,956,6,192,2,2,0
26537,956,9,168,3,3,1
26538,956,3,92,4,4,0
26539,956,210,28,8,8,0
26540,956,10,59,5,5,0
26541,956,5,36,6,6,0
26542,956,4,6,9,9,0
26543,956,1,32,7,7,0
26544,956,15,0,11,11,0
26545,956,209,1,10,10,0
26546,957,131,335,1,1,9
26547,957,6,204,2,2,0
26548,957,9,198,3,3,1
26549,957,3,92,4,4,0
26550,957,210,28,8,8,0
26551,957,10,73,5,5,0
26552,957,5,41,6,6,0
26553,957,4,6,9,9,0
26554,957,1,32,7,7,0
26555,957,15,0,11,11,0
26556,957,209,1,10,10,0
26568,958,131,378,1,1,10
26569,958,6,224,2,2,0
26570,958,9,223,3,3,1
26571,958,3,94,4,4,0
26572,958,210,28,8,8,0
26573,958,10,74,5,5,0
26574,958,5,45,6,6,0
26575,958,4,6,9,9,0
26576,958,1,38,7,7,0
26577,958,15,0,11,11,0
26578,958,209,1,10,10,0
26579,959,131,415,1,1,11
26580,959,6,242,3,3,0
26581,959,9,256,2,2,1
26582,959,3,96,4,4,0
26583,959,210,28,8,8,0
26584,959,10,81,5,5,0
26585,959,5,45,6,6,0
26586,959,4,6,9,9,0
26587,959,1,42,7,7,0
26588,959,15,0,11,11,0
26589,959,209,1,10,10,0
26590,960,131,455,1,1,12
26591,960,6,252,3,3,0
26592,960,9,274,2,2,1
26593,960,3,101,5,5,0
26594,960,210,28,8,8,0
26595,960,10,103,4,4,0
26596,960,5,45,7,7,0
26597,960,4,6,9,9,0
26598,960,1,48,6,6,0
26599,960,15,0,11,11,0
26600,960,209,1,10,10,0
26601,961,131,498,1,1,13
26602,961,6,279,3,3,0
26603,961,9,290,2,2,1
26604,961,3,111,4,4,0
26605,961,210,28,8,8,0
26606,961,10,108,5,5,0
26607,961,5,45,7,7,0
26608,961,4,6,9,9,0
26609,961,1,48,6,6,0
26610,961,15,0,11,11,0
26611,961,209,1,10,10,0
26612,962,131,538,1,1,14
26613,962,6,301,3,3,0
26614,962,9,316,2,2,1
26615,962,3,111,5,5,0
26616,962,210,28,8,8,0
26617,962,10,112,4,4,0
26618,962,5,47,7,7,0
26619,962,4,7,9,9,0
26620,962,1,54,6,6,0
26621,962,15,0,11,11,0
26622,962,209,1,10,10,0
26623,963,131,553,1,1,14
26624,963,6,313,3,3,0
26625,963,9,359,2,2,2
26626,963,3,121,5,5,0
26627,963,210,28,8,8,0
26628,963,10,124,4,4,0
26629,963,5,47,7,7,0
26630,963,4,8,9,9,0
26631,963,1,62,6,6,0
26632,963,15,0,11,11,0
26633,963,209,1,10,10,0
26634,964,131,593,1,1,15
26635,964,6,335,3,3,0
26636,964,9,385,2,2,2
26637,964,3,124,5,5,0
26638,964,210,28,8,8,0
26639,964,10,134,4,4,0
26640,964,5,47,7,7,0
26641,964,4,8,9,9,0
26642,964,1,62,6,6,0
26643,964,15,0,11,11,0
26644,964,209,1,10,10,0
26697,965,1,74,6,6,0
26698,965,15,0,11,11,0
26690,965,6,347,3,3,0
26696,965,4,8,9,9,0
26695,965,5,55,7,7,0
26694,965,10,138,4,4,0
26692,965,3,130,5,5,0
26693,965,210,29,8,8,0
26691,965,9,400,2,2,2
26689,965,131,636,1,1,16
26699,965,209,1,10,10,0
26708,966,1,74,6,6,0
26710,966,209,1,10,10,0
26709,966,15,0,11,11,0
26701,966,6,365,3,3,0
26707,966,4,8,9,9,0
26706,966,5,55,7,7,0
26705,966,10,145,4,4,0
26703,966,3,136,5,5,0
26704,966,210,29,8,8,0
26702,966,9,427,2,2,2
26700,966,131,679,1,1,17
26712,967,6,375,3,3,0
26711,967,131,722,1,1,18
26713,967,9,446,2,2,2
26714,967,3,136,5,5,0
26715,967,210,29,8,8,0
26716,967,10,163,4,4,0
26717,967,5,63,7,7,0
26718,967,4,8,9,9,0
26719,967,1,75,6,6,0
26720,967,15,2,10,10,0
26721,967,209,1,11,11,0
26722,968,131,765,1,1,19
26723,968,6,398,3,3,0
26724,968,9,468,2,2,2
26725,968,3,138,5,5,0
26726,968,210,29,8,8,0
26727,968,10,173,4,4,0
26728,968,5,63,7,7,0
26729,968,4,8,9,9,0
26730,968,1,76,6,6,0
26731,968,15,2,10,10,0
26732,968,209,1,11,11,0
26733,969,6,37,1,1,1
26734,969,131,33,2,2,0
26735,969,9,10,3,3,0
26736,969,3,8,4,4,0
26737,969,10,7,5,5,0
26738,969,5,6,6,6,0
26739,969,4,0,7,7,0
26740,969,15,0,8,8,0
26741,969,1,0,9,9,0
26742,969,210,0,10,10,0
26743,970,6,65,2,2,1
26744,970,131,66,1,1,1
26745,970,9,37,3,3,0
26746,970,3,8,6,6,0
26747,970,10,10,5,5,0
26748,970,5,12,4,4,0
26749,970,4,0,8,8,0
26750,970,15,0,9,9,0
26751,970,1,0,10,10,0
26752,970,210,4,7,7,0
26753,971,6,102,1,1,2
26754,971,131,99,2,2,1
26755,971,9,47,3,3,0
26756,971,3,16,5,5,0
26757,971,10,17,4,4,0
26758,971,5,12,6,6,0
26759,971,4,2,8,8,0
26760,971,15,0,9,9,0
26761,971,1,0,10,10,0
26762,971,210,8,7,7,0
26763,972,6,135,2,2,2
26764,972,131,136,1,1,2
26765,972,9,57,3,3,0
26766,972,3,18,5,5,0
26767,972,10,31,4,4,0
26768,972,5,13,6,6,0
26769,972,4,6,8,8,0
26770,972,15,0,9,9,0
26771,972,1,0,10,10,0
26772,972,210,8,7,7,0
26773,973,6,153,2,2,2
26774,973,131,161,1,1,3
26775,973,9,72,3,3,0
26776,973,3,18,6,6,0
26777,973,10,53,4,4,0
26778,973,5,21,5,5,0
26779,973,4,14,7,7,0
26780,973,15,4,9,9,0
26781,973,1,0,10,10,0
26782,973,210,9,8,8,0
26783,974,6,196,1,1,3
26784,974,131,179,2,2,3
26785,974,9,97,3,3,0
26786,974,3,20,6,6,0
26787,974,10,53,4,4,0
26788,974,5,29,5,5,0
26789,974,4,14,7,7,0
26790,974,15,4,9,9,0
26791,974,1,0,10,10,0
26792,974,210,14,8,8,0
26793,975,6,214,2,2,3
26794,975,131,222,1,1,4
26795,975,9,112,3,3,0
26796,975,3,22,6,6,0
26797,975,10,71,4,4,0
26798,975,5,29,5,5,0
26799,975,4,18,7,7,0
26800,975,15,4,9,9,0
26801,975,1,0,10,10,0
26802,975,210,15,8,8,0
26803,976,6,226,2,2,3
26804,976,131,250,1,1,4
26805,976,9,137,3,3,1
26806,976,3,37,5,5,0
26807,976,10,79,4,4,0
26808,976,5,33,6,6,0
26809,976,4,18,8,8,0
26810,976,15,5,9,9,0
26811,976,1,2,10,10,0
26812,976,210,21,7,7,0
26813,977,6,254,2,2,3
26814,977,131,287,1,1,5
26815,977,9,152,3,3,1
26816,977,3,40,5,5,0
26817,977,10,89,4,4,0
26818,977,5,33,6,6,0
26819,977,4,18,8,8,0
26820,977,15,5,9,9,0
26821,977,1,2,10,10,0
26822,977,210,29,7,7,0
26823,978,6,275,2,2,3
26824,978,131,330,1,1,6
26825,978,9,174,3,3,1
26826,978,3,41,5,5,0
26827,978,10,95,4,4,0
26828,978,5,33,6,6,0
26829,978,4,26,8,8,0
26830,978,15,5,9,9,0
26831,978,1,2,10,10,0
26832,978,210,29,7,7,0
26833,979,6,318,2,2,4
26834,979,131,357,1,1,6
26835,979,9,184,3,3,1
26836,979,3,41,5,5,0
26837,979,10,101,4,4,0
26838,979,5,39,6,6,0
26839,979,4,26,8,8,0
26840,979,15,5,10,10,0
26841,979,1,11,9,9,0
26842,979,210,29,7,7,0
26843,980,6,348,2,2,4
26844,980,131,392,1,1,7
26845,980,9,199,3,3,1
26846,980,3,45,5,5,0
26847,980,10,103,4,4,0
26848,980,5,40,6,6,0
26849,980,4,34,8,8,0
26850,980,15,5,10,10,0
26851,980,1,11,9,9,0
26852,980,210,35,7,7,0
26853,981,6,373,2,2,4
26854,981,131,435,1,1,8
26855,981,9,212,3,3,1
26856,981,3,55,5,5,0
26857,981,10,113,4,4,0
26858,981,5,40,6,6,0
26859,981,4,34,8,8,0
26860,981,15,5,10,10,0
26861,981,1,11,9,9,0
26862,981,210,35,7,7,0
26863,982,6,373,2,2,4
26864,982,131,475,1,1,9
26865,982,9,230,3,3,1
26866,982,3,59,5,5,0
26867,982,10,124,4,4,0
26868,982,5,52,6,6,0
26869,982,4,42,7,7,0
26870,982,15,5,10,10,0
26871,982,1,17,9,9,0
26872,982,210,37,8,8,0
26873,983,6,385,2,2,4
26874,983,131,503,1,1,9
26875,983,9,270,3,3,2
26876,983,3,65,5,5,0
26877,983,10,133,4,4,0
26878,983,5,52,6,6,0
26879,983,4,42,7,7,0
26880,983,15,5,10,10,0
26881,983,1,23,9,9,0
26882,983,210,37,8,8,0
26883,984,6,395,2,2,4
26884,984,131,540,1,1,10
26885,984,9,303,3,3,2
26886,984,3,66,5,5,0
26887,984,10,147,4,4,0
26888,984,5,52,6,6,0
26889,984,4,42,8,8,0
26890,984,15,5,10,10,0
26891,984,1,23,9,9,0
26892,984,210,43,7,7,0
26893,985,6,428,2,2,4
26894,985,131,575,1,1,11
26895,985,9,315,3,3,2
26896,985,3,68,5,5,0
26897,985,10,159,4,4,0
26898,985,5,53,6,6,0
26899,985,4,48,7,7,0
26900,985,15,5,10,10,0
26901,985,1,23,9,9,0
26902,985,210,43,8,8,0
26903,986,6,455,2,2,4
26904,986,131,595,1,1,11
26905,986,9,340,3,3,3
26906,986,3,76,5,5,0
26907,986,10,175,4,4,0
26908,986,5,53,6,6,0
26909,986,4,48,7,7,0
26910,986,15,5,10,10,0
26911,986,1,24,9,9,0
26912,986,210,47,8,8,0
26913,987,6,495,2,2,5
26914,987,131,625,1,1,11
26915,987,9,358,3,3,3
26916,987,3,82,5,5,0
26917,987,10,177,4,4,0
26918,987,5,53,6,6,0
26919,987,4,49,7,7,0
26920,987,15,5,10,10,0
26921,987,1,28,9,9,0
26922,987,210,47,8,8,0
26923,988,6,522,2,2,5
26924,988,131,668,1,1,12
26925,988,9,368,3,3,3
26926,988,3,83,5,5,0
26927,988,10,187,4,4,0
26928,988,5,53,7,7,0
26929,988,4,57,6,6,0
26930,988,15,5,10,10,0
26931,988,1,30,9,9,0
26932,988,210,47,8,8,0
